RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-11T01:49:29.909174500Z0.4552500975330551,62923629925500,62953629925500,20,16082979000
req2024-05-11T01:49:29.909174500Z0.25833059727804475,62923629592000,62953629592000,20,11139367500
req2024-05-11T01:49:29.909174500Z0.4862120881120239,62923629807900,62953629807900,20,9911737900
req2024-05-11T01:49:29.910336600Z0.7140654650087841,62923630098800,62953630098800,20,16372646400
req2024-05-11T01:49:29.902646400Z0.6456335570932454,62923622756900,62953622756900,20,2200379600
req2024-05-11T01:49:29.909174500Z0.8803457524423918,62923629535000,62953629535000,20,16153931900
req2024-05-11T01:49:29.909174500Z0.7787036262294755,62923629875200,62953629875200,20,9234075400
req2024-05-11T01:49:29.907166Z0.13002612614745146,62923627699400,62953627699400,20,1951957400
req2024-05-11T01:49:29.910336600Z0.6885143257237228,62923630048100,62953630048100,20,9047250100
req2024-05-11T01:49:29.908177100Z0.6257041084544445,62923627871700,62953627871700,20,15243951600
req2024-05-11T01:49:29.903646500Z0.6588140398503569,62923622368900,62953622368900,20,7739158100
req2024-05-11T01:49:29.878744400Z0.26070935552545704,62923598087800,62953598087800,20,7600338300
req2024-05-11T01:49:29.908177100Z0.1193076578361062,62923627406000,62953627406000,20,16614284400
req2024-05-11T01:49:29.887046600Z0.4648730994356469,62923606321200,62953606321200,20,15764162800
req2024-05-11T01:49:29.901646100Z0.9567976286564394,62923621266400,62953621266400,20,7556786800
req2024-05-11T01:49:29.907166Z0.0940664390320397,62923626784200,62953626784200,20,11074597500
req2024-05-11T01:49:29.907166Z0.003413245474488069,62923626460800,62953626460800,20,7753494100
req2024-05-11T01:49:29.899646900Z0.7982208944227961,62923619210200,62953619210200,20,2218017000
req2024-05-11T01:49:29.909174500Z0.9233992218537083,62923628293400,62953628293400,20,16550376900
req2024-05-11T01:49:29.902646400Z0.1091916648870509,62923622135500,62953622135500,20,7746820800
req2024-05-11T01:49:29.900645200Z0.3065527181371228,62923619851500,62953619851500,20,16302883200
req2024-05-11T01:49:29.900645200Z0.06188362784977186,62923619578500,62953619578500,20,7520539700
req2024-05-11T01:49:29.908177100Z0.7864819367482797,62923627574200,62953627574200,20,11512694500
req2024-05-11T01:49:29.876745600Z0.10908825807233558,62923595456100,62953595456100,20,762630200
req2024-05-11T01:49:29.909174500Z0.18179341318830555,62923628250500,62953628250500,20,16560803300
req2024-05-11T01:49:29.908177100Z0.6140184814854096,62923627740000,62953627740000,20,16532116200
req2024-05-11T01:49:29.909174500Z0.844262890863795,62923628272700,62953628272700,20,11469799800
req2024-05-11T01:49:29.903646500Z0.8414385211456031,62923622400900,62953622400900,20,16456254200
req2024-05-11T01:49:29.901646100Z0.021128923868257377,62923620751400,62953620751400,20,16450715300
req2024-05-11T01:49:29.908177100Z0.6821625478881118,62923627613700,62953627613700,20,16529794100
req2024-05-11T01:49:29.900645200Z0.47680248760072086,62923620234900,62953620234900,20,7506653800
req2024-05-11T01:49:29.909174500Z0.1404354098478382,62923628529500,62953628529500,20,16551362500
req2024-05-11T01:49:29.907166Z0.7126500409079729,62923626580800,62953626580800,20,16616268700
req2024-05-11T01:49:29.896635500Z0.2149397369861188,62923615435600,62953615435600,20,16063911600
req2024-05-11T01:49:29.902646400Z0.5495562278796381,62923621518300,62953621518300,20,7551222500
req2024-05-11T01:49:29.903646500Z0.5898818052481057,62923622618200,62953622618200,20,7638979200
req2024-05-11T01:49:29.899646900Z0.00880234537247171,62923618615000,62953618615000,20,2624280600
req2024-05-11T01:49:29.903646500Z0.47053399188518696,62923622326200,62953622326200,20,16467140800
req2024-05-11T01:49:29.899646900Z0.2683511940557981,62923618781900,62953618781900,20,2293052500
req2024-05-11T01:49:29.904154800Z0.2689947589187982,62923622953000,62953622953000,20,7867148600
req2024-05-11T01:49:29.909174500Z0.6937870550074152,62923628747100,62953628747100,20,11442519800
req2024-05-11T01:49:29.900645200Z0.6697966268809447,62923620114000,62953620114000,20,15665764500
req2024-05-11T01:49:29.899646900Z0.5550032577261244,62923619055600,62953619055600,20,1407742000
req2024-05-11T01:49:29.909174500Z0.23589669834773141,62923628061400,62953628061400,20,12048986600
req2024-05-11T01:49:29.902646400Z0.9373380223505066,62923621429100,62953621429100,20,7551881000
req2024-05-11T01:49:29.885045500Z0.9927394981257618,62923604419300,62953604419300,20,16189525600
req2024-05-11T01:49:29.907166Z0.653741504906499,62923626830800,62953626830800,20,16609785300
req2024-05-11T01:49:29.909174500Z0.185227124906316,62923628226300,62953628226300,20,11627799200
req2024-05-11T01:49:29.901646100Z0.5054209460509422,62923620428900,62953620428900,20,7491225800
req2024-05-11T01:49:29.903646500Z0.4035351869144209,62923622555900,62953622555900,20,7550660300
req2024-05-11T01:49:29.902646400Z0.9467727535627107,62923621857900,62953621857900,20,16382534300
req2024-05-11T01:49:29.908177100Z0.8185897166739052,62923626881100,62953626881100,20,12049928300
req2024-05-11T01:49:29.882741600Z0.08372930283400559,62923601732600,62953601732600,20,2508315900
req2024-05-11T01:49:29.901646100Z0.467327104732968,62923620829500,62953620829500,20,16444336100
req2024-05-11T01:49:29.892045500Z0.9405460536029301,62923611613700,62953611613700,20,2801660900
req2024-05-11T01:49:29.899646900Z0.11595930128886878,62923619015400,62953619015400,20,16078076400
req2024-05-11T01:49:29.903646500Z0.9873770899074527,62923622431400,62953622431400,20,7653033400
req2024-05-11T01:49:29.872212900Z0.9539885181561766,62923590977800,62953590977800,20,441605600
req2024-05-11T01:49:29.881742500Z0.6441890125477099,62923601097200,62953601097200,20,869893200
req2024-05-11T01:49:29.900645200Z0.19337840682535046,62923619364100,62953619364100,20,15644850300
req2024-05-11T01:49:29.909174500Z0.24744272031233405,62923628154000,62953628154000,20,16562834300
req2024-05-11T01:49:29.903646500Z0.130014539908474,62923622523900,62953622523900,20,16346300200
req2024-05-11T01:49:29.907166Z0.8302831771871126,62923626606300,62953626606300,20,12193947600
req2024-05-11T01:49:29.883742500Z0.48685671658702,62923602873000,62953602873000,20,2792938400
req2024-05-11T01:49:29.873831500Z0.06232656870893172,62923592934000,62953592934000,20,720412700
req2024-05-11T01:49:29.902646400Z0.12164834902544286,62923622166900,62953622166900,20,16472010100
req2024-05-11T01:49:29.900645200Z0.8378809875279087,62923619659500,62953619659500,20,7519540400
req2024-05-11T01:49:29.900645200Z0.5585385410584298,62923619521400,62953619521400,20,16335562900
req2024-05-11T01:49:29.902646400Z0.13434217511902746,62923621906900,62953621906900,20,7548461600
req2024-05-11T01:49:29.902646400Z0.18627141482971465,62923621995100,62953621995100,20,7506416400
req2024-05-11T01:49:29.880743500Z0.4524185638383911,62923600387500,62953600387500,20,2152151500
req2024-05-11T01:49:29.904154800Z0.46130685814343486,62923622825800,62953622825800,20,7597659400
req2024-05-11T01:49:29.909174500Z0.6884200779123744,62923627986700,62953627986700,20,16553430300
req2024-05-11T01:49:29.909174500Z0.9065136285708041,62923628685200,62953628685200,20,16617373600
req2024-05-11T01:49:29.901646100Z0.558410724075835,62923621079200,62953621079200,20,16432244300
req2024-05-11T01:49:29.909174500Z0.9624366924230794,62923627960600,62953627960600,20,11520184900
req2024-05-11T01:49:29.907166Z0.03877763267777845,62923626407000,62953626407000,20,7771894600
req2024-05-11T01:49:29.909174500Z0.05965970513358476,62923628728100,62953628728100,20,16616231700
req2024-05-11T01:49:29.899646900Z0.494708758995818,62923619131100,62953619131100,20,494493400
req2024-05-11T01:49:29.900645200Z0.3502447531523123,62923619907800,62953619907800,20,1236370000
req2024-05-11T01:49:29.909174500Z0.49009929579724376,62923628662700,62953628662700,20,12246421700
req2024-05-11T01:49:29.900645200Z0.3118181488520674,62923620320700,62953620320700,20,16294995800
req2024-05-11T01:49:29.902646400Z0.8660273409957906,62923621958000,62953621958000,20,16381609700
req2024-05-11T01:49:29.907166Z0.9719268464609927,62923626709700,62953626709700,20,12163283400
req2024-05-11T01:49:29.903646500Z0.13489476072882467,62923622683100,62953622683100,20,7567536800
req2024-05-11T01:49:29.907166Z0.28475729911443093,62923626343000,62953626343000,20,7648029400
req2024-05-11T01:49:29.900645200Z0.10910909725028395,62923619947800,62953619947800,20,15651601100
req2024-05-11T01:49:29.907166Z0.17941220053161488,62923625888800,62953625888800,20,7915986800
